Date,Open,High,Low,Close,Adj Close,Volume
2004-10-25,1.272993,1.284307,1.266207,1.283203,1.283203,0
2004-11-01,1.282808,1.299697,1.266592,1.296899,1.296899,0
2004-11-08,1.296395,1.299207,1.286207,1.299106,1.299106,0
2004-11-15,1.299005,1.307292,1.292207,1.302507,1.302507,0
2004-11-22,1.302592,1.332907,1.297993,1.327193,1.327193,0
2004-11-29,1.327193,1.346602,1.323399,1.345008,1.345008,0
2004-12-06,1.345008,1.347001,1.314994,1.322297,1.322297,0
2004-12-13,1.322297,1.343797,1.321301,1.331398,1.331398,0
2004-12-20,1.331097,1.354793,1.330106,1.352704,1.352704,0
2004-12-27,1.352795,1.366195,1.351899,1.358197,1.358197,0
2005-01-03,1.358105,1.358105,1.302999,1.307600,1.307600,0
2005-01-10,1.307600,1.329098,1.306404,1.309895,1.309895,0
2005-01-17,1.309998,1.312905,1.293193,1.304308,1.304308,0
2005-01-24,1.304206,1.312095,1.295404,1.302406,1.302406,0
2005-01-31,1.302406,1.309397,1.285496,1.285496,1.285496,0
2005-02-07,1.285595,1.290406,1.273707,1.288892,1.288892,0
2005-02-14,1.288892,1.309003,1.288593,1.307104,1.307104,0
2005-02-21,1.307207,1.327299,1.303696,1.325399,1.325399,0
2005-02-28,1.325399,1.328004,1.309397,1.323697,1.323697,0
2005-03-07,1.323399,1.347800,1.318496,1.347400,1.347400,0
2005-03-14,1.347400,1.347909,1.326999,1.331593,1.331593,0
2005-03-21,1.331895,1.331895,1.293193,1.295807,1.295807,0
2005-03-28,1.295807,1.304308,1.286107,1.289807,1.289807,0
2005-04-04,1.289707,1.294398,1.280393,1.292407,1.292407,0
2005-04-11,1.292107,1.300001,1.277906,1.291906,1.291906,0
2005-04-18,1.291306,1.311699,1.288095,1.305193,1.305193,0
2005-04-25,1.305602,1.305995,1.285595,1.286207,1.286207,0
2005-05-02,1.286207,1.298701,1.281000,1.282002,1.282002,0
2005-05-09,1.281903,1.290306,1.260303,1.260303,1.260303,0
